host_ID,host_species,village,grid,season,sex,mass,dist_village,pathogen,otu_Order,otu_Family,otu_Genus,sum_relative_reads,OTU_ID,pathogen_type
2696,Rattus rattus,Mandena,agroforest,3,female,86,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.03417086389271,76,Protozoa
2703,Rattus rattus,Mandena,agroforest,3,female,95,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.387306753259407,76,Protozoa
2745,Rattus rattus,Mandena,agroforest,3,male,95,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.5916404806768,76,Protozoa
2758,Rattus rattus,Mandena,agroforest,3,female,114,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.356720827514334,76,Protozoa
2759,Rattus rattus,Mandena,agroforest,3,female,110,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.631901840664684,76,Protozoa
2766,Rattus rattus,Mandena,agroforest,3,male,100,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.19320818482172,76,Protozoa
2792,Rattus rattus,Sarahandrano,brushy_regrowth,1,female,78,0.72,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.9100775193689,76,Protozoa
2821,Rattus rattus,Sarahandrano,agriculture,1,female,140,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.525700934701186,76,Protozoa
2839,Rattus rattus,Sarahandrano,agriculture,1,male,132,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.153694986315105,76,Protozoa
3000,Rattus rattus,Sarahandrano,brushy_regrowth,2,male,112,0.72,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
3005,Rattus rattus,Sarahandrano,brushy_regrowth,2,male,150,0.72,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.326949383569894,76,Protozoa
3023,Rattus rattus,Sarahandrano,agroforest,2,male,144,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.895339955753554,76,Protozoa
3030,Rattus rattus,Sarahandrano,agroforest,2,male,176,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.682830145652181,76,Protozoa
3137,Rattus rattus,Sarahandrano,agriculture,2,male,158,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.609808085702466,76,Protozoa
3250,Rattus rattus,Sarahandrano,agriculture,3,female,75,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.937431988990585,76,Protozoa
3273,Rattus rattus,Sarahandrano,agriculture,3,male,138,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.438942348482965,76,Protozoa
3279,Rattus rattus,Sarahandrano,agriculture,3,male,91,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.273329131004654,76,Protozoa
